Model,MAE,RMSE,Normalized_Accuracy (%)
Naive,0.38133834995903815,0.5901071456788702,61.66885594342561
XGBoost,0.3253616605459168,0.4706828282735616,67.25649136408526
SARIMA,0.5217295632056836,0.6898284383446448,47.5531538357859
N-BEATS,0.37325483560562134,0.5104857871555161,62.12308406829834
PatchTST,0.388182133436203,0.5336329924645472,60.60830354690552
